sum_Episode,Episode, Score, Avg.Score,eps-greedy,success,failed,meet_threaten,loss,step,Q-value,energy_cost,task_collect,Energy_Efficent,UE_waiting_time,Covered_rate
238.0,22018,12.197756149282434,12.197756149282434,0.0,0.0,0.0,0.0,0.0,100.0,0,3.4439635216331363,0.0,0.0,0.0,0.0
240.0,22218,-9.6653069173691,-9.6653069173691,0.0,0.0,0.0,0.0,0.0,100.0,0,10.90140900352679,0.0,0.0,0.0,0.0
242.0,22403,-5.634832720599427,-5.634832720599427,0.0,0.0,0.0,0.0,0.0,100.0,0,8.32814431006089,0.0,0.0,0.0,0.0
244.0,22590,29.036237419226474,29.036237419226474,0.0,0.0,0.0,0.0,0.0,87.0,0,2.8610650685770316,0.0,0.0,0.0,0.0
246.0,22790,-1.6013073444650274,-1.6013073444650274,0.0,0.0,0.0,0.0,0.0,100.0,0,8.79620277396551,0.0,0.0,0.0,0.0
248.0,22918,0.9486441902969105,0.9486441902969105,0.0,0.0,0.0,0.0,0.0,100.0,0,8.265059896201274,0.0,0.0,0.0,0.0
250.0,23118,2.4909099197940066,2.4909099197940066,0.0,0.0,0.0,0.0,0.0,100.0,0,7.771318019857381,0.0,0.0,0.0,0.0
252.0,23246,66.99815865143185,66.99815865143185,0.0,0.0,0.0,0.0,0.0,28.0,0,2.644110112591603,0.0,0.0,0.0,0.0
254.0,23439,24.815760245117012,24.815760245117012,0.0,0.0,0.0,0.0,0.0,93.0,0,2.91349307147282,0.0,0.0,0.0,0.0
256.0,23623,1.3829978293625587,1.3829978293625587,0.0,0.0,0.0,0.0,0.0,100.0,0,8.054951511052437,0.0,0.0,0.0,0.0
258.0,23823,-9.836839852592881,-9.836839852592881,0.0,0.0,0.0,0.0,0.0,100.0,0,9.345474898301307,0.0,0.0,0.0,0.0
260.0,24023,9.122349545192478,9.122349545192478,0.0,0.0,0.0,0.0,0.0,100.0,0,4.738750609810435,0.0,0.0,0.0,0.0
262.0,24201,-11.993943452146368,-11.993943452146368,0.0,0.0,0.0,0.0,0.0,100.0,0,11.65572321299883,0.0,0.0,0.0,0.0
264.0,24401,7.523897312360553,7.523897312360553,0.0,0.0,0.0,0.0,0.0,100.0,0,5.817601133148691,0.0,0.0,0.0,0.0
266.0,24601,1.7682292086620919,1.7682292086620919,0.0,0.0,0.0,0.0,0.0,100.0,0,5.507277015086794,0.0,0.0,0.0,0.0
268.0,24695,64.24835436529224,64.24835436529224,0.0,0.0,0.0,0.0,0.0,27.0,0,2.7794875031067803,0.0,0.0,0.0,0.0
